stock,minute,side,twap_price,adaptive_price,improvement,chosen_time,chosen_regime,chosen_reason,pred_regret
AMZN,1900-01-01 12:39:00,BUY,222.45,222.34,0.10999999999998522,12:39:34.249,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:40:00,BUY,222.54,222.54,0.0,12:40:07.348,0,fallback_strategy5_trigger,
AMZN,1900-01-01 12:41:00,BUY,222.54,222.43,0.10999999999998522,12:41:53.815,2,ridge_trigger_regime_2,-0.03579134142783294
AMZN,1900-01-01 12:42:00,BUY,222.43,222.48,-0.04999999999998295,12:42:25.314,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:43:00,BUY,222.62,222.57,0.05000000000001137,12:43:54.278,2,ridge_trigger_regime_2,-0.027688383184474863
AMZN,1900-01-01 12:44:00,BUY,222.53,222.41,0.12000000000000455,12:44:02.262,4,ridge_trigger_regime_4,0.0832509676818507
AMZN,1900-01-01 12:45:00,BUY,222.38,222.36,0.01999999999998181,12:45:25.965,2,ridge_trigger_regime_2,-0.050116102724601375
AMZN,1900-01-01 12:46:00,BUY,222.53,222.57,-0.03999999999999204,12:46:01.851,2,ridge_trigger_regime_2,-0.011456568787092669
AMZN,1900-01-01 12:47:00,BUY,222.68,222.68,0.0,12:47:05.914,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:48:00,BUY,222.64,222.21,0.4299999999999784,12:48:44.386,2,ridge_trigger_regime_2,-0.021937397104905693
AMZN,1900-01-01 12:49:00,BUY,222.32,222.31,0.009999999999990905,12:49:29.318,2,ridge_trigger_regime_2,-0.019510016372249056
AMZN,1900-01-01 12:50:00,BUY,222.38,222.31,0.06999999999999318,12:50:49.762,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:51:00,BUY,222.38,222.42,-0.03999999999999204,12:51:30.417,4,ridge_trigger_regime_4,-0.030847205091058427
AMZN,1900-01-01 12:52:00,BUY,222.54,222.52,0.01999999999998181,12:52:10.981,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:53:00,BUY,222.6,222.65,-0.05000000000001137,12:53:47.974,2,ridge_trigger_regime_2,-0.014514205808723674
AMZN,1900-01-01 12:54:00,BUY,222.82,222.66,0.1599999999999966,12:54:37.016,2,ridge_trigger_regime_2,-0.021568788453461635
AMZN,1900-01-01 12:55:00,BUY,222.66,222.59,0.06999999999999318,12:55:49.473,2,ridge_trigger_regime_2,-0.029021288965844577
AMZN,1900-01-01 12:56:00,BUY,222.66,222.59,0.06999999999999318,12:56:36.150,3,fallback_strategy5_trigger,
AMZN,1900-01-01 12:57:00,BUY,222.62,222.58,0.03999999999999204,12:57:00.948,2,ridge_trigger_regime_2,-0.02505201474876087
